@relation R_data_frame-weka.filters.unsupervised.instance.Resample-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Center

@attribute xP numeric
@attribute yP numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute legal_north {true,false}
@attribute legal_south {true,false}
@attribute legal_east {true,false}
@attribute legal_west {true,false}
@attribute dist_g1 numeric
@attribute dist_g2 numeric
@attribute dist_g3 numeric
@attribute dist_g4 numeric
@attribute position_ghost1_x numeric
@attribute position_ghost1_y numeric
@attribute position_ghost2_x numeric
@attribute position_ghost2_y numeric
@attribute position_ghost3_x numeric
@attribute position_ghost3_y numeric
@attribute position_ghost4_x numeric
@attribute position_ghost4_y numeric
@attribute DIRECTION {North,South,East,West,Stop}

@data
-7.71173,-0.147117,North,true,true,true,false,-4.739563,-5.05169,-2.389662,-4.284294,-4.992048,2.479125,-3.50497,-4.572565,-8.600398,2.765408,-8.809145,-0.628231,North
1.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-7.71173,0.852883,South,true,true,false,false,-0.739563,0.94831,-0.389662,0.715706,-4.992048,-2.520875,-4.50497,-2.572565,-4.600398,1.765408,-5.809145,-1.628231,South
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
-7.71173,8.852883,South,true,true,true,false,7.260437,8.94831,5.610338,8.715706,-4.992048,-2.520875,-4.50497,-2.572565,-4.600398,1.765408,-5.809145,-1.628231,South
3.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-1.389662,-2.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
7.28827,1.852883,East,false,false,true,true,2.260437,0.94831,-1.389662,1.715706,8.007952,9.479125,12.49503,6.427435,6.399602,5.765408,5.190855,7.371769,East
3.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-1.389662,-2.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
6.28827,-5.147117,South,true,true,false,false,7.260437,8.94831,7.610338,6.715706,8.007952,8.479125,6.49503,8.427435,4.399602,6.765408,5.190855,5.371769,North
-7.71173,2.852883,North,true,true,false,false,8.260437,2.94831,-0.389662,0.715706,2.007952,-2.520875,-0.50497,1.427435,-4.600398,1.765408,-5.809145,-0.628231,South
3.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-1.389662,-2.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
3.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-1.389662,-2.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
-5.71173,-4.147117,East,true,false,true,true,-1.739563,1.94831,0.610338,8.715706,1.007952,-2.520875,0.49503,0.427435,-0.600398,-4.234592,3.190855,-1.628231,East
6.28827,-5.147117,South,true,true,false,false,8.260437,9.94831,8.610338,5.715706,6.007952,7.479125,6.49503,9.427435,4.399602,7.765408,3.190855,5.371769,North
1.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-0.71173,-3.147117,East,false,true,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,2.399602,-3.234592,2.190855,-3.628231,East
-6.71173,2.852883,North,false,true,true,true,-4.739563,-5.05169,-5.389662,-2.284294,-4.992048,4.479125,-3.50497,-4.572565,-4.600398,-6.234592,-8.809145,-0.628231,West
3.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-1.389662,-2.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
6.28827,-4.147117,North,false,true,true,false,7.260437,7.94831,7.610338,4.715706,8.007952,9.479125,6.49503,8.427435,3.399602,6.765408,1.190855,5.371769,South
-7.71173,1.852883,North,true,true,false,false,2.260437,4.94831,-1.389662,-4.284294,-1.992048,-1.520875,-1.50497,-2.572565,-5.600398,2.765408,-8.809145,1.371769,South
-6.71173,-3.147117,North,true,true,true,true,-5.739563,-5.05169,2.610338,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,-4.600398,1.765408,-5.809145,-1.628231,North
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
2.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
3.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-1.389662,-2.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
6.28827,-4.147117,North,false,true,true,false,9.260437,7.94831,5.610338,3.715706,4.007952,7.479125,7.49503,9.427435,4.399602,5.765408,4.190855,5.371769,East
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-7.71173,2.852883,South,true,true,false,false,10.260437,3.94831,-0.389662,1.715706,4.007952,-2.520875,-0.50497,0.427435,-4.600398,1.765408,-7.809145,-1.628231,South
-1.71173,-1.147117,East,false,false,true,true,0.260437,-2.05169,-5.389662,-6.284294,5.007952,-1.520875,2.49503,-0.572565,-4.600398,-6.234592,-4.809145,-6.628231,East
9.28827,-1.147117,North,false,true,true,true,8.260437,7.94831,5.610338,6.715706,9.007952,11.479125,6.49503,8.427435,4.399602,5.765408,3.190855,8.371769,West
-1.71173,-2.147117,North,true,true,false,false,-5.739563,-2.05169,-0.389662,0.715706,-4.992048,-4.520875,-1.50497,0.427435,0.399602,-4.234592,2.190855,-1.628231,North
2.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-7.71173,0.852883,North,true,true,true,false,-5.739563,-5.05169,-4.389662,-3.284294,-4.992048,-4.520875,-3.50497,-4.572565,-8.600398,1.765408,-8.809145,-0.628231,North
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
6.28827,-5.147117,South,true,true,false,false,6.260437,12.94831,8.610338,6.715706,8.007952,7.479125,5.49503,11.427435,3.399602,6.765408,1.190855,5.371769,North
-5.71173,-3.147117,East,false,true,true,true,-2.739563,1.94831,3.610338,8.715706,0.007952,-1.520875,1.49503,0.427435,1.399602,-4.234592,4.190855,-1.628231,East
6.28827,0.852883,South,true,true,false,false,1.260437,3.94831,0.610338,1.715706,9.007952,9.479125,8.49503,11.427435,4.399602,5.765408,3.190855,8.371769,North
10.28827,7.852883,North,false,true,false,true,0.260437,-5.05169,0.610338,-5.284294,7.007952,9.479125,-3.50497,-4.572565,4.399602,6.765408,6.190855,7.371769,West
2.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
10.28827,4.852883,North,true,true,false,false,0.260437,-5.05169,0.610338,-3.284294,10.007952,9.479125,-3.50497,-4.572565,4.399602,5.765408,6.190855,7.371769,North
2.28827,-1.147117,East,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-7.71173,0.852883,North,true,true,false,false,6.260437,4.94831,0.610338,-2.284294,4.007952,-0.520875,4.49503,2.427435,-3.600398,1.765408,-6.809145,1.371769,North
-5.71173,-2.147117,South,true,true,true,true,1.260437,4.94831,1.610338,-4.284294,2.007952,-2.520875,3.49503,2.427435,-3.600398,1.765408,-6.809145,-1.628231,North
-2.71173,1.852883,South,true,true,false,true,2.260437,-3.05169,-5.389662,-6.284294,4.007952,-0.520875,1.49503,3.427435,-4.600398,-6.234592,-4.809145,-6.628231,North
6.28827,-5.147117,South,true,true,false,false,8.260437,11.94831,8.610338,5.715706,7.007952,8.479125,5.49503,10.427435,4.399602,7.765408,3.190855,5.371769,North
7.28827,-4.147117,East,false,false,true,true,9.260437,7.94831,7.610338,5.715706,5.007952,7.479125,7.49503,8.427435,4.399602,6.765408,3.190855,5.371769,West
6.28827,0.852883,South,true,true,false,false,1.260437,1.94831,2.610338,1.715706,9.007952,9.479125,8.49503,9.427435,2.399602,5.765408,3.190855,8.371769,North
-7.71173,3.852883,South,true,true,false,false,2.260437,3.94831,0.610338,3.715706,-4.992048,-2.520875,-4.50497,-2.572565,-4.600398,1.765408,-5.809145,-1.628231,South
-7.71173,3.852883,North,true,true,false,false,6.260437,4.94831,-0.389662,0.715706,-0.992048,-2.520875,-2.50497,-1.572565,-5.600398,1.765408,-8.809145,-0.628231,South
6.28827,-4.147117,North,false,true,true,false,6.260437,6.94831,5.610338,5.715706,9.007952,9.479125,7.49503,8.427435,6.399602,5.765408,4.190855,5.371769,East
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
1.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
10.28827,4.852883,North,true,true,false,false,0.260437,-5.05169,0.610338,-3.284294,10.007952,9.479125,-3.50497,-4.572565,4.399602,5.765408,6.190855,7.371769,North
-5.71173,-1.147117,East,true,true,true,true,-5.739563,-5.05169,-0.389662,-3.284294,-4.992048,-4.520875,-3.50497,-4.572565,-4.600398,1.765408,-5.809145,-1.628231,East
-7.71173,-2.147117,North,true,true,true,false,-0.739563,-2.05169,-0.389662,-3.284294,-4.992048,4.479125,-5.50497,2.427435,-7.600398,1.765408,-8.809145,-0.628231,North
1.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
7.28827,-4.147117,West,false,false,true,true,8.260437,7.94831,4.610338,7.715706,9.007952,10.479125,7.49503,8.427435,6.399602,5.765408,2.190855,6.371769,West
9.28827,1.852883,East,false,false,true,true,1.260437,2.94831,2.610338,3.715706,11.007952,9.479125,9.49503,9.427435,4.399602,5.765408,3.190855,9.371769,West
-4.71173,1.852883,North,true,true,true,true,3.260437,0.94831,-4.389662,-6.284294,5.007952,1.479125,3.49503,3.427435,-4.600398,1.765408,-4.809145,-6.628231,East
-2.71173,-1.147117,East,true,false,true,true,-5.739563,-5.05169,-1.389662,-6.284294,-4.992048,-4.520875,-3.50497,-4.572565,-4.600398,1.765408,-4.809145,-6.628231,North
-7.71173,4.852883,South,true,true,true,false,2.260437,5.94831,0.610338,1.715706,-3.992048,-0.520875,-3.50497,-2.572565,-5.600398,1.765408,-5.809145,1.371769,South
1.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-7.71173,2.852883,North,true,true,false,false,5.260437,4.94831,-2.389662,-1.284294,-0.992048,-2.520875,-2.50497,-2.572565,-5.600398,2.765408,-8.809145,-0.628231,North
1.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-1.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-2.71173,-1.147117,East,true,false,true,true,-5.739563,-5.05169,-1.389662,-6.284294,-4.992048,-4.520875,-3.50497,-4.572565,-4.600398,1.765408,-4.809145,-6.628231,North
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,West
6.28827,1.852883,West,false,true,true,false,1.260437,1.94831,-0.389662,1.715706,8.007952,9.479125,12.49503,6.427435,6.399602,5.765408,6.190855,7.371769,East
-7.71173,10.852883,Stop,false,true,true,false,9.260437,10.94831,7.610338,10.715706,-4.992048,-2.520875,-4.50497,-2.572565,-4.600398,1.765408,-5.809145,-1.628231,South
6.28827,-4.147117,North,false,true,true,false,5.260437,7.94831,7.610338,4.715706,8.007952,7.479125,6.49503,8.427435,3.399602,6.765408,5.190855,5.371769,South
7.28827,-4.147117,West,false,false,true,true,8.260437,7.94831,4.610338,7.715706,9.007952,10.479125,7.49503,8.427435,6.399602,5.765408,2.190855,6.371769,West
-7.71173,2.852883,South,true,true,false,false,3.260437,3.94831,-1.389662,-2.284294,-1.992048,-1.520875,-2.50497,-1.572565,-4.600398,2.765408,-6.809145,2.371769,South
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-7.71173,1.852883,South,true,true,false,false,0.260437,1.94831,-1.389662,1.715706,-4.992048,-2.520875,-4.50497,-2.572565,-4.600398,1.765408,-5.809145,-1.628231,South
-5.71173,-2.147117,South,true,true,true,true,1.260437,4.94831,1.610338,-4.284294,2.007952,-2.520875,3.49503,2.427435,-3.600398,1.765408,-6.809145,-1.628231,North
-2.71173,1.852883,East,true,true,false,true,2.260437,-1.05169,-5.389662,-6.284294,5.007952,0.479125,3.49503,3.427435,-4.600398,-6.234592,-4.809145,-6.628231,North
0.28827,-3.147117,East,false,true,true,true,-5.739563,-5.05169,-2.389662,-0.284294,-4.992048,-4.520875,-3.50497,-4.572565,2.399602,-3.234592,2.190855,-3.628231,East
-7.71173,7.852883,South,true,true,true,false,5.260437,6.94831,3.610338,6.715706,-3.992048,-0.520875,-5.50497,-2.572565,-5.600398,1.765408,-5.809145,-1.628231,South
6.28827,1.852883,North,false,true,true,false,1.260437,0.94831,1.610338,0.715706,9.007952,10.479125,7.49503,8.427435,2.399602,5.765408,3.190855,9.371769,South
2.28827,-1.147117,West,false,false,true,true,-5.739563,-5.05169,-2.389662,-1.284294,-4.992048,-4.520875,-3.50497,-4.572565,1.399602,-4.234592,4.190855,-1.628231,East
-4.71173,-1.147117,East,true,true,true,true,-5.739563,-5.05169,-1.389662,-4.284294,-4.992048,-4.520875,-3.50497,-4.572565,-4.600398,1.765408,-5.809145,-1.628231,East
9.28827,1.852883,East,false,false,true,true,1.260437,1.94831,1.610338,5.715706,11.007952,9.479125,10.49503,9.427435,5.399602,5.765408,3.190855,9.371769,West
6.28827,1.852883,West,false,true,true,false,2.260437,4.94831,-0.389662,-0.284294,7.007952,9.479125,12.49503,9.427435,6.399602,5.765408,3.190855,8.371769,East
-7.71173,2.852883,South,true,true,false,false,4.260437,2.94831,-2.389662,-0.284294,-1.992048,-2.520875,-2.50497,-0.572565,-5.600398,2.765408,-5.809145,2.371769,South
10.28827,6.852883,North,true,true,false,false,0.260437,-5.05169,0.610338,-4.284294,8.007952,9.479125,-3.50497,-4.572565,4.399602,5.765408,7.190855,7.371769,North
-1.71173,-2.147117,South,true,true,false,false,-5.739563,-5.05169,0.610338,0.715706,-4.992048,-4.520875,-3.50497,-4.572565,2.399602,-3.234592,2.190855,-1.628231,South
10.28827,6.852883,North,true,true,false,false,0.260437,-5.05169,0.610338,-4.284294,8.007952,9.479125,-3.50497,-4.572565,4.399602,5.765408,7.190855,7.371769,North
